#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2016-05-13
2-11	47-48	—	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-12	49-55	REGNUM	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-13	58-60	12	_	_	*	Day	-	-	12	*	*[6]	*[9]	Date[17]	*[17]	Day[17]	2016-05-12[17]	_	_	_	_	_	_	_	_	_	
2-14	61-64	мая	_	_	*	MonthName	DA	4	05	*	*[6]	*[9]	Date[17]	*[17]	Day[17]	2016-05-12[17]	_	_	_	_	_	_	_	_	_	
2-15	65-66	в	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-16	67-74	Лондоне	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-17	75-85	состоялась	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-18	86-92	первая	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-19	93-95	за	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-20	96-108	четырнадцать	_	P14Y[2]	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-21	109-112	лет	_	P14Y[2]	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-22	113-120	встреча	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-23	121-125	глав	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-24	126-144	внешнеполитических	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-25	145-153	ведомств	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-26	154-168	Великобритании	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-27	169-170	и	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-28	171-180	Аргентины	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-29	180-181	.	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Как сообщается на официальном сайте британского Министерства иностранных дел и по делам Содружества, Филип Хаммонд и Сусана Малькорра обсудили вопросы развития сотрудничества в сфере торговли, борьбы с коррупцией и наркотрафиком.
3-1	182-185	Как	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	186-196	сообщается	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	197-199	на	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	200-211	официальном	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	212-217	сайте	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-6	218-229	британского	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-7	230-242	Министерства	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	243-254	иностранных	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	255-258	дел	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-10	259-260	и	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-11	261-263	по	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-12	264-269	делам	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-13	270-281	Содружества	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-14	281-282	,	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-15	283-288	Филип	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-16	289-296	Хаммонд	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-17	297-298	и	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-18	299-305	Сусана	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-19	306-315	Малькорра	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-20	316-324	обсудили	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-21	325-332	вопросы	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-22	333-341	развития	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-23	342-356	сотрудничества	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-24	357-358	в	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-25	359-364	сфере	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-26	365-373	торговли	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-27	373-374	,	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-28	375-381	борьбы	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-29	382-383	с	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-30	384-394	коррупцией	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-31	395-396	и	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-32	397-410	наркотрафиком	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-33	410-411	.	_	_	_	_	_	_	_	_	*[6]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Однако, глава внешнеполитического ведомства Велкобритании особо подчеркнул, что позиция Великобритании по Фолклендским островам не изменилась.
4-1	412-418	Однако	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	418-419	,	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-3	420-425	глава	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-4	426-445	внешнеполитического	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-5	446-455	ведомства	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-6	456-469	Велкобритании	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-7	470-475	особо	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-8	476-486	подчеркнул	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-9	486-487	,	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-10	488-491	что	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-11	492-499	позиция	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-12	500-514	Великобритании	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-13	515-517	по	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-14	518-530	Фолклендским	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-15	531-539	островам	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-16	540-542	не	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-17	543-553	изменилась	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-18	553-554	.	_	_	_	_	_	_	_	_	*[6]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=А референдум 2013 года стал «подтверждением желания островитян сохранить статус британской заморской территории».
5-1	555-556	А	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-2	557-567	референдум	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-3	568-572	2013	_	_	*[3]	Year[3]	-[3]	-[3]	2013[3]	*[3]	*[6]	*[12]	Date[18]	*[18]	Year[18]	2013[18]	_	_	_	_	_	_	_	_	_	
5-4	573-577	года	_	_	*[3]	Year[3]	-[3]	-[3]	2013[3]	*[3]	*[6]	*[12]	Date[18]	*[18]	Year[18]	2013[18]	_	_	_	_	_	_	_	_	_	
5-5	578-582	стал	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-6	583-584	«	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-7	584-598	подтверждением	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-8	599-606	желания	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-9	607-617	островитян	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-10	618-627	сохранить	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-11	628-634	статус	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-12	635-645	британской	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-13	646-655	заморской	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-14	656-666	территории	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-15	666-667	»	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-16	667-668	.	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Как ранее сообщало ИА REGNUM, по итогам встречи президента Аргентины Маурисио Макри и премьер-министра Великобритании Дэвида Кэмерона в Давосе глава правительства Аргентины Маркос Пенья заявил, что разные позиции по Фолклендам не помешают установлению и развитию хороших отношений.
6-1	669-670	¶	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-2	670-673	Как	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-3	674-679	ранее	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-4	680-688	сообщало	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-5	689-691	ИА	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-6	692-698	REGNUM	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-7	698-699	,	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-8	700-702	по	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-9	703-709	итогам	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-10	710-717	встречи	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-11	718-728	президента	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-12	729-738	Аргентины	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-13	739-747	Маурисио	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-14	748-753	Макри	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-15	754-755	и	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-16	756-772	премьер-министра	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-17	773-787	Великобритании	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-18	788-794	Дэвида	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-19	795-803	Кэмерона	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-20	804-805	в	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-21	806-812	Давосе	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-22	813-818	глава	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-23	819-832	правительства	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-24	833-842	Аргентины	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-25	843-849	Маркос	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-26	850-855	Пенья	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-27	856-862	заявил	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-28	862-863	,	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-29	864-867	что	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-30	868-874	разные	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-31	875-882	позиции	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-32	883-885	по	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-33	886-896	Фолклендам	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-34	897-899	не	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-35	900-908	помешают	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-36	909-921	установлению	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-37	922-923	и	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-38	924-932	развитию	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-39	933-940	хороших	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-40	941-950	отношений	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-41	950-951	.	_	_	_	_	_	_	_	_	*[7]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Отметим также, что 99,3% населения Фолклендских островов в ходе референдума 2013 года заявили, что хотели бы остаться в составе Великобритании.
7-1	952-959	Отметим	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-2	960-965	также	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-3	965-966	,	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-4	967-970	что	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-5	971-973	99	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-6	973-974	,	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-7	974-975	3	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-8	975-976	%	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-9	977-986	населения	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-10	987-999	Фолклендских	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-11	1000-1008	островов	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-12	1009-1010	в	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-13	1011-1015	ходе	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-14	1016-1027	референдума	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-15	1028-1032	2013	_	_	*[4]	Year[4]	-[4]	-[4]	2013[4]	*[4]	*[7]	*[14]	Date[19]	*[19]	Year[19]	2013[19]	_	_	_	_	_	_	_	_	_	
7-16	1033-1037	года	_	_	*[4]	Year[4]	-[4]	-[4]	2013[4]	*[4]	*[7]	*[14]	Date[19]	*[19]	Year[19]	2013[19]	_	_	_	_	_	_	_	_	_	
7-17	1038-1045	заявили	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-18	1045-1046	,	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-19	1047-1050	что	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-20	1051-1057	хотели	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-21	1058-1060	бы	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-22	1061-1069	остаться	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-23	1070-1071	в	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-24	1072-1079	составе	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-25	1080-1094	Великобритании	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-26	1094-1095	.	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
