#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2016-05-18
#Text=¶Медведев назвал переговоры «дружественными и конструктивными» и заявил, что стороны обсудили вопросы экономики и туризма.
3-1	168-169	¶	_	*[4]	*[9]	_	_	_	_	
3-2	169-177	Медведев	_	*[4]	*[9]	_	_	_	_	
3-3	178-184	назвал	_	*[4]	*[9]	_	_	_	_	
3-4	185-195	переговоры	_	*[4]	*[9]	_	_	_	_	
3-5	196-197	«	_	*[4]	*[9]	_	_	_	_	
3-6	197-211	дружественными	_	*[4]	*[9]	_	_	_	_	
3-7	212-213	и	_	*[4]	*[9]	_	_	_	_	
3-8	214-229	конструктивными	_	*[4]	*[9]	_	_	_	_	
3-9	229-230	»	_	*[4]	*[9]	_	_	_	_	
3-10	231-232	и	_	*[4]	*[9]	_	_	_	_	
3-11	233-239	заявил	_	*[4]	*[9]	_	_	_	_	
3-12	239-240	,	_	*[4]	*[9]	_	_	_	_	
3-13	241-244	что	_	*[4]	*[9]	_	_	_	_	
3-14	245-252	стороны	_	*[4]	*[9]	_	_	_	_	
3-15	253-261	обсудили	_	*[4]	*[9]	_	_	_	_	
3-16	262-269	вопросы	_	*[4]	*[9]	_	_	_	_	
3-17	270-279	экономики	_	*[4]	*[9]	_	_	_	_	
3-18	280-281	и	_	*[4]	*[9]	_	_	_	_	
3-19	282-289	туризма	_	*[4]	*[9]	_	_	_	_	
3-20	289-290	.	_	*[4]	*[9]	_	_	_	_	

#Text=¶Российский премьер также заявил, что Таиланд является одним из самых привлекательных мест отдыха для россиян.
4-1	291-292	¶	_	*[5]	*[10]	_	_	_	_	
4-2	292-302	Российский	_	*[5]	*[10]	_	_	_	_	
4-3	303-310	премьер	_	*[5]	*[10]	_	_	_	_	
4-4	311-316	также	_	*[5]	*[10]	_	_	_	_	
4-5	317-323	заявил	_	*[5]	*[10]	_	_	_	_	
4-6	323-324	,	_	*[5]	*[10]	_	_	_	_	
4-7	325-328	что	_	*[5]	*[10]	_	_	_	_	
4-8	329-336	Таиланд	_	*[5]	*[10]	_	_	_	_	
4-9	337-345	является	_	*[5]	*[10]	_	_	_	_	
4-10	346-351	одним	_	*[5]	*[10]	_	_	_	_	
4-11	352-354	из	_	*[5]	*[10]	_	_	_	_	
4-12	355-360	самых	_	*[5]	*[10]	_	_	_	_	
4-13	361-376	привлекательных	_	*[5]	*[10]	_	_	_	_	
4-14	377-381	мест	_	*[5]	*[10]	_	_	_	_	
4-15	382-388	отдыха	_	*[5]	*[10]	_	_	_	_	
4-16	389-392	для	_	*[5]	*[10]	_	_	_	_	
4-17	393-400	россиян	_	*[5]	*[10]	_	_	_	_	
4-18	400-401	.	_	*[5]	*[10]	_	_	_	_	

#Text=В связи с этим обсуждались также вопросы сервиса и безопасности пребывания туристов в Таиланде.
5-1	402-403	В	_	*[5]	*[11]	_	_	_	_	
5-2	404-409	связи	_	*[5]	*[11]	_	_	_	_	
5-3	410-411	с	_	*[5]	*[11]	_	_	_	_	
5-4	412-416	этим	_	*[5]	*[11]	_	_	_	_	
5-5	417-428	обсуждались	_	*[5]	*[11]	_	_	_	_	
5-6	429-434	также	_	*[5]	*[11]	_	_	_	_	
5-7	435-442	вопросы	_	*[5]	*[11]	_	_	_	_	
5-8	443-450	сервиса	_	*[5]	*[11]	_	_	_	_	
5-9	451-452	и	_	*[5]	*[11]	_	_	_	_	
5-10	453-465	безопасности	_	*[5]	*[11]	_	_	_	_	
5-11	466-476	пребывания	_	*[5]	*[11]	_	_	_	_	
5-12	477-485	туристов	_	*[5]	*[11]	_	_	_	_	
5-13	486-487	в	_	*[5]	*[11]	_	_	_	_	
5-14	488-496	Таиланде	_	*[5]	*[11]	_	_	_	_	
5-15	496-497	.	_	*[5]	*[11]	_	_	_	_	

#Text=¶Ранее сообщалось, что Россия и Таиланд подписали межправительственное соглашение о военном сотрудничестве.
6-1	498-499	¶	_	*[6]	*[12]	_	_	_	_	
6-2	499-504	Ранее	_	*[6]	*[12]	_	_	_	_	
6-3	505-515	сообщалось	_	*[6]	*[12]	_	_	_	_	
6-4	515-516	,	_	*[6]	*[12]	_	_	_	_	
6-5	517-520	что	_	*[6]	*[12]	_	_	_	_	
6-6	521-527	Россия	_	*[6]	*[12]	_	_	_	_	
6-7	528-529	и	_	*[6]	*[12]	_	_	_	_	
6-8	530-537	Таиланд	_	*[6]	*[12]	_	_	_	_	
6-9	538-547	подписали	_	*[6]	*[12]	_	_	_	_	
6-10	548-568	межправительственное	_	*[6]	*[12]	_	_	_	_	
6-11	569-579	соглашение	_	*[6]	*[12]	_	_	_	_	
6-12	580-581	о	_	*[6]	*[12]	_	_	_	_	
6-13	582-589	военном	_	*[6]	*[12]	_	_	_	_	
6-14	590-604	сотрудничестве	_	*[6]	*[12]	_	_	_	_	
6-15	604-605	.	_	*[6]	*[12]	_	_	_	_	
